Category,DayOfWeek,PdDistrict,X,Y,Year,Month,Hour,Day,Minute,Block_Ind,Street
37,6,4,0.08775038915399591,0.06671957326120292,2015,5,23,13,53,0,0
21,6,4,0.08775038915399591,0.06671957326120292,2015,5,23,13,53,0,0
21,6,4,0.08927904283999055,0.0925352995720985,2015,5,23,13,33,0,0
16,6,4,0.08664673752400631,0.09299361035571252,2015,5,23,13,30,1,1500
16,6,5,0.07490444153299336,0.06366214964429417,2015,5,23,13,30,1,100
16,6,2,0.11038970307798479,0.0055516817024994225,2015,5,23,13,30,1,0
36,6,2,0.09031508762200247,0.017259017964299517,2015,5,23,13,30,0,0
36,6,0,0.1423677468489899,0.019685049538296084,2015,5,23,13,30,0,0
16,6,6,0.005448033172996247,0.06872223826770352,2015,5,23,13,0,1,600
16,6,1,0.09455438754299905,0.09992252923800038,2015,5,23,13,0,0,0
16,6,1,0.09455438754299905,0.09992252923800038,2015,5,22,13,58,0,0
21,6,8,0.025658991512997886,0.029787631919205637,2015,5,22,13,30,1,0
35,6,9,0.1012278007089833,0.07512477403989948,2015,5,22,13,30,0,0
16,6,4,0.08072746079599824,0.07647432024329959,2015,5,22,13,6,0,0
20,6,0,0.11589763718698975,0.02205567119089835,2015,5,22,13,0,1,200
20,6,0,0.1299505603309825,0.03531001958300095,2015,5,22,13,0,1,0
25,6,9,0.10104468710299841,0.07605300531379555,2015,5,22,13,0,0,0
1,6,2,0.09196053271799087,0.03494317807099634,2015,5,21,13,55,0,0
21,6,0,0.12724119433698888,0.031104468658497808,2015,5,21,13,40,0,0
20,6,9,0.10139229665600169,0.07467730778849813,2015,5,21,13,30,1,100
16,6,2,0.06425295300599032,0.03478978016310208,2015,5,21,13,30,1,200
25,6,2,0.0933699290069967,0.03945260746500168,2015,5,21,13,17,1,1600
37,6,9,0.10139229665600169,0.07467730778849813,2015,5,21,13,11,1,100
20,6,9,0.10139229665600169,0.07467730778849813,2015,5,21,13,11,1,100
16,6,4,0.0775928607039873,0.09196220046879233,2015,5,21,13,10,0,0
20,6,9,0.10313280549500803,0.07816419988570544,2015,5,21,13,0,1,300
16,6,4,0.08262450726300585,0.07950904881059984,2015,5,21,13,0,1,2000
16,6,2,0.08998572134498772,0.024677465792997566,2015,5,21,13,0,1,500
16,6,8,0.03786856643799297,0.037040047177498536,2015,5,21,13,0,0,0
21,6,8,0.013854943600009051,0.04063858105878637,2015,5,20,13,56,1,2000
16,6,4,0.08259569820098989,0.07515054919090147,2015,5,20,13,54,1,1300
20,6,3,0.07849196447800466,0.053880701946297904,2015,5,20,13,50,1,400
35,6,4,0.08089824167299753,0.07596342817119961,2015,5,20,13,45,1,1500
16,6,4,0.08233252356299658,0.07799160483909873,2015,5,20,13,30,1,1600
35,6,4,0.08233252356299658,0.07799160483909873,2015,5,20,13,30,1,1600
16,6,7,0.1217964470979922,0.0702457559085019,2015,5,20,13,30,0,0
16,6,4,0.08181134049799255,0.08776268084410077,2015,5,20,13,30,0,0
16,6,4,0.08309028448898914,0.08144374920789943,2015,5,20,13,30,0,0
38,6,8,0.04046003473200699,0.01368571820660236,2015,5,20,13,29,1,1400
35,6,2,0.08119560143700255,0.0029536316939982044,2015,5,20,13,25,1,0
